cluster_label,cluster_name,size,unique_incidents,top_keywords,example_incident_ids,example_titles,top_year,top_sector,top_risk_category,top_failure_type
1,Cluster 1,1748,466,"ai, google, amazon, com, said, chatbot, microsoft, search, image, www, users, https www",590 | 1001 | 467 | 593 | 609,"Alleged ChatGPT-Generated Book with a Duplicate Title, Fake Author, and Similar Content Surfaces on Amazon Ahead of Real Author's Book Release | LLM Scrapers Allegedly Target Multiple Open Source Projects Disrupting the FOSS Ecosystem | Google's Bard Shared Factually Inaccurate Info in Promo Video | AI Photo Filter Lightens Skin, Changes Eye Color in Student's 'Professional' Image | Flawed AI in Google Search Reportedly Misinforms about Geography",2024 (322) | 2025 (277) | 2017 (200),Transportation (71) | Information technology (34) | Nuclear (27),"1. Discrimination and Toxicity (467) | 7. AI system safety, failures, and limitations (347) | 3. Misinformation (270)","Distributional Bias (118) | Harmful Application (36) | Distributional Bias, Context Misidentification (35)"
6,Cluster 6,908,231,"robot, algorithm, said, data, shotspotter, com, people, police, ai, risk, security, algorithms",4 | 110 | 521 | 716 | 603,Uber AV Killed Pedestrian in Arizona | Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries | Images Captured by iRobot's Roomba Containing Device Users Posted on Private Online Groups | Algorithmic Staffing Failures Linked to Resident Deaths at Leading Assisted-Living Chain Brookdale | Algorithmic Allocation of Resources in Healthcare for Disabled and Elderly Care Services Allegedly Harming Patients,2016 (124) | 2015 (108) | 2017 (86),Government facilities (36) | Financial services (30) | Critical manufacturing (27),"7. AI system safety, failures, and limitations (437) | 1. Discrimination and Toxicity (301) | 4. Malicious Actors & Misuse (64)","Incomplete Data Attribute Capture, Problematic Input (39) | Generalization Failure (38) | Lack of Capability Control, Unsafe Exposure or Access, Lack of Safety Protocols (27)"
11,Cluster 11,798,324,"video, facebook, ai, election, disinformation, russian, content, com, videos, deepfake, trump, media",727 | 846 | 919 | 1120 | 573,Synthetic Voice 'Olesya' by Storm-1516 Falsely Accuses Ukraine in U.S. Election Disinformation Campaign | Social Media Algorithms Amplified Disinformation Campaign in Honduras Election | Purported Russian-Linked Network Allegedly Used Deepfake of Maria Ressa on Facebook and Bing to Promote Cryptocurrency Scam Targeting Filipinos | Alleged AI-Generated Videos Depict Bangladesh's Chief Adviser Muhammad Yunus Endorsing Betting Platforms | Deepfake Recordings Allegedly Influence Slovakian Election,2024 (233) | 2023 (143) | 2025 (143),Communications (1),4. Malicious Actors & Misuse (415) | 3. Misinformation (159) | 1. Discrimination and Toxicity (94),"Misinformation Generation Hazard, Unsafe Exposure or Access (44) | Generalization Failure (14) | Tuning Issues, Lack of Adversarial Robustness, Adversarial Data (12)"
3,Cluster 3,678,218,"scam, ai, deepfake, scams, scammers, voice, fake, fraud, com, said, money, video",537 | 1136 | 1327 | 1121 | 1037,"Mother in Arizona Received Fake Ransom Call Featuring AI Voice of Her Daughter | Purported Widespread Use of AI-Generated Deepfake Videos Impersonate Malaysian Leaders in Investment Scams | Reported AI-Generated Deepfake Romance Scam Allegedly Used to Steal One Bitcoin From Recently Divorced Investor | Alleged AI Deepfake Videos Used to Lure Simcoe County, Ontario Residents in Crypto Scam | Microsoft Reportedly Blocks 1.6 Million Bot Signup Attempts Per Hour Amid Global AI-Driven Fraud Surge",2025 (348) | 2024 (158) | 2023 (57),,4. Malicious Actors & Misuse (558) | 2. Privacy & Security (11) | 1. Discrimination and Toxicity (4),"Misinformation Generation Hazard, Unsafe Exposure or Access (39) | Misinformation Generation Hazard (6) | Unsafe Exposure or Access, Misinformation Generation Hazard (1)"
7,Cluster 7,453,106,"deepfake, school, images, ai, porn, students, deepfakes, high school, said, pornography, generated, ai generated",597 | 1351 | 617 | 597 | 597,"Female Students at Westfield High School in New Jersey Reportedly Targeted with Deepfake Nudes | Alleged Use of AI to Create Sexualized Deepfake Images of Middle School Students Under Investigation in Bucks County, Pennsylvania | Male student allegedly used AI to generate nude photos of female classmates at a high school in Issaquah, Washington | Female Students at Westfield High School in New Jersey Reportedly Targeted with Deepfake Nudes | Female Students at Westfield High School in New Jersey Reportedly Targeted with Deepfake Nudes",2023 (187) | 2024 (104) | 2025 (73),,"4. Malicious Actors & Misuse (353) | 3. Misinformation (44) | 7. AI system safety, failures, and limitations (6)","Misinformation Generation Hazard, Unsafe Exposure or Access (40) | Unsafe Exposure or Access (3) | Misinformation Generation Hazard (1)"
5,Cluster 5,345,93,"chatgpt, court, openai, ai, legal, citations, cases, com, lawyers, schwartz, judge, lawyer",541 | 541 | 541 | 541 | 541,ChatGPT Reportedly Produced False Court Case Law Presented by Legal Counsel in Court | ChatGPT Reportedly Produced False Court Case Law Presented by Legal Counsel in Court | ChatGPT Reportedly Produced False Court Case Law Presented by Legal Counsel in Court | ChatGPT Reportedly Produced False Court Case Law Presented by Legal Counsel in Court | ChatGPT Reportedly Produced False Court Case Law Presented by Legal Counsel in Court,2023 (132) | 2025 (105) | 2022 (53),,"3. Misinformation (140) | 7. AI system safety, failures, and limitations (51) | 4. Malicious Actors & Misuse (43)","Software Bug, Context Misidentification, Distributional Artifacts (5) | Misinformation Generation Hazard (3) | Limited Dataset, Limited Receptive Field, Untested Deployment (2)"
10,Cluster 10,295,96,"recognition, facial recognition, facial, que, police, la, el, technology, recognition technology, en, clearview, surveillance",517 | 517 | 74 | 74 | 815,Man Arrested For Sock Theft by False Facial Match Despite Alibi | Man Arrested For Sock Theft by False Facial Match Despite Alibi | Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT | Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT | Police Use of Facial Recognition Software Causes Wrongful Arrests Without Defendant Knowledge,2025 (60) | 2022 (41) | 2018 (33),,2. Privacy & Security (101) | 1. Discrimination and Toxicity (84) | 4. Malicious Actors & Misuse (45),"Privacy Concerns, Unsafe Exposure or Access, Lack of Transparency (10) | Privacy Concerns, Unauthorized Data (7) | Generalization Failure (5)"
9,Cluster 9,204,45,"driving, self driving, waymo, cruise, self, vehicle, car, autonomous, vehicles, cars, uber, bus",4 | 71 | 4 | 293 | 71,Uber AV Killed Pedestrian in Arizona | Google Waymo Vehicle and Bus Allegedly Collide in California | Uber AV Killed Pedestrian in Arizona | Cruise’s Self-Driving Car Involved in a Multiple-Injury Collision at an San Francisco Intersection | Google Waymo Vehicle and Bus Allegedly Collide in California,2016 (33) | 2022 (30) | 2018 (27),Transportation (73),"7. AI system safety, failures, and limitations (176) | 5. Human-Computer Interaction (8) | 1. Discrimination and Toxicity (1)","Generalization Failure (27) | Human Error (23) | Lack of Transparency, Lack of Explainability, Generalization Failure (7)"
4,Cluster 4,173,33,"tesla, autopilot, driver, crash, car, tesla autopilot, driving, vehicle, model, tesla model, highway, wheel",232 | 20 | 20 | 231 | 20,"Tesla Model X on Autopilot Missed Parked Vehicles and Pedestrians, Killing Motorcyclist in Japan | A Collection of Tesla Autopilot-Involved Crashes | A Collection of Tesla Autopilot-Involved Crashes | A Tesla Crashed into and Killed a Road Sweeper on a Highway in China | A Collection of Tesla Autopilot-Involved Crashes",2016 (56) | 2018 (53) | 2019 (20),Transportation (21),"7. AI system safety, failures, and limitations (131) | 5. Human-Computer Interaction (39) | 3. Misinformation (3)","Generalization Failure, Faulty or Inadequate Preprocessing, Misuse (29) | Misuse (23) | Generalization Failure, Limited Dataset (20)"
8,Cluster 8,151,20,"grok, eating, chatbot, tessa, xai, musk, neda, eating disorders, disorders, eating disorder, disorder, com",1146 | 1146 | 1146 | 1146 | 1198,Grok Chatbot Reportedly Posts Antisemitic Statements Praising Hitler on X | Grok Chatbot Reportedly Posts Antisemitic Statements Praising Hitler on X | Grok Chatbot Reportedly Posts Antisemitic Statements Praising Hitler on X | Grok Chatbot Reportedly Posts Antisemitic Statements Praising Hitler on X | Grok 3 Reportedly Generated Graphic Threats and Hate Speech Targeting Minnesota Attorney Will Stancil,2025 (89) | 2023 (46) | 2024 (8),,"7. AI system safety, failures, and limitations (46) | 1. Discrimination and Toxicity (39) | 3. Misinformation (27)","Unsafe Exposure or Access, Context Misidentification (46) | Misinformation Generation Hazard (1)"
