Namespace,Incident ID,Published,Incident Number,Annotator,Annotation Status,Peer Reviewer,Quality Control,Physical Objects,Entertainment Industry,"Report, Test, or Study of data",Deployed,Producer Test in Controlled Conditions,Producer Test in Operational Conditions,User Test in Controlled Conditions,User Test in Operational Conditions,Harm Domain,Tangible Harm,AI System,Clear link to technology,There is a potentially identifiable specific entity that experienced the harm,AI Harm Level,AI Tangible Harm Level Notes,Impact on Critical Services,Rights Violation,Involving Minor,Detrimental Content,Protected Characteristic,Harm Distribution Basis,Notes (special interest intangible harm),Special Interest Intangible Harm,AI System,Clear link to Technology,Harmed Class of Entities,Annotator’s AI special interest intangible harm assessment,Notes (AI special interest intangible harm),Date of Incident Year,Date of Incident Month,Date of Incident Day,Estimated Date,Multiple AI Interaction,Embedded,Location City,Location State/Province (two letters),Location Country (two letters),Location Region,Infrastructure Sectors,Operating Conditions,Notes (Environmental and Temporal Characteristics),Entities,Lives Lost,Injuries,Estimated Harm Quantities,Notes ( Tangible Harm Quantities Information),AI System Description,Data Inputs,Sector of Deployment,Public Sector Deployment,Autonomy Level,Notes (Information about AI System),Intentional Harm,Physical System Type,AI Task,AI tools and methods,Notes (AI Functionality and Techniques)
CSETv1_Annotator-2,57,True,57,006,2. Initial annotation complete,,False,no,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,no,no,True,none,"No AI present in system. The debt system was automated, however no AI/machine learning is mentioned in articles.",yes,yes,no,no,no,,Access to social welfare (a public service) was interfered with.,yes,no,no,True,no,No AI ,2016,,,False,no,no,,,AU,Oceania,government facilities,,,"Centrelink, Australian Department of Human Services, Australian Citizens",0,0,True,,,,administrative and support service activities,yes,Autonomy2,"No AI, however deployed to Public Sector",,,,,No AI
CSETv1_Annotator-2,56,True,56,006,3. In peer review,003,False,yes,no,no,yes,no,no,no,no,no,"no tangible harm, near-miss, or issue",maybe,maybe,True,none,"Allegedly, AI system used to create phone cases. However, it is unknown wether or not this is true.",no,no,no,yes,no,,Generated phone cases include images of drugs/sexual content,no,maybe,maybe,True,no,5.1 is no because they are no characterizable subgroups of harmed entities. ,2017,,,True,no,no,,,,Global,,,,my_handy_design,0,0,True,,Allegedly AI. Had access to a database of photos. Selected photos to print onto phone cases which would then be sold on Amazon.,photos,wholesale and retail trade,no,Autonomy1,,No. Not intentionally designed to perform harm,,Design Phone Cases,,
CSETv1_Annotator-2,55,True,55,006,3. In peer review,003,False,yes,no,no,yes,no,no,no,yes,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,,no,no,yes,yes,no,,Alexa produced inappropriate response/suggestion/content for child user  ,yes,yes,yes,True,yes,,2016,12,30,True,no,yes,,,US,North America,,,,"Amazon, Amazon Alexa, Child using Alexa",0,0,True,,Amazon Alexa is a bluetooth speaker with an embedded digital assistant,"voice, audio, personal data",wholesale and retail trade,no,Autonomy2,,No. Not intentionally designed to perform harm,Amazon Alexa,Digital Assistant,"Natural Language Processesing, Text to Speach, Audio Transcription",
CSETv1_Annotator-2,54,True,54,006,4. Peer review complete,002,False,yes,no,no,yes,no,no,no,no,yes,"no tangible harm, near-miss, or issue",yes,yes,False,none,,no,maybe,no,no,yes,"race, financial means",,yes,yes,yes,True,yes,"The use of historical crime data as input into the algorithm's prediction leads to a feedback loop. The algorithm predicts more crimes in neighborhoods with high recorded crime levels in the past which, due to historical overpolicing, tend to disproportionately affect low-income and minority communities. This leads to higher police presence in these neighborhoods, which by default increases the number of recorded crimes there. Even though neither race nor income are variables used in the algorithm explicitly, the algorithm's predictions are 'biased-by-proxy'. 
This could potentially lead to situations in which citizens of these communities are perceived as 'guilty by association' and loose their right to individualized treatment, rather than as a statistic. ",2011,,,True,no,no,,,US,North America,,,Earliest deployment of this software was by LAPD in 2011. LAPD had access to a prototype of the software.,"PredPol, Los Angeles Police Department, PredPol software, Residents of minority and low-income neighborhoods, HunchLab, St. Louis County Police Department, Lincoln (NE) Police Department, Richmond Police Department, Burbank Police Department, Azavea, Human Rights Data Analysis Group",0,0,False,,Predictive policing software that uses ML to predict locations and times with high probability of different types of crime. Polices officers would then patrol those locations.,"Crime Records, Police reports, geospatial data, past type of crime, past location of crime, past time of crime",law enforcement,yes,Autonomy3,,No. Not intentionally designed to perform harm,,Predict Crimes,Machine Learning,
CSETv1_Annotator-2,46,True,46,006,2. Initial annotation complete,,False,yes,no,no,yes,yes,no,no,no,yes,non-imminent risk of tangible harm (an issue) occurred,no,no,True,none,Product/feature did not contain AI. Wave-to-disable feature most likely used motion detectors and basic algorithms. ,no,no,no,no,no,none,,no,no,no,True,no,,2014,,,False,no,yes,,,US,North America,,,,"Nest Labs, Nest Users, Nest Smoke Detector ",0,0,False,,No AI,,,,Autonomy1,,No. Not intentionally designed to perform harm,,,,
CSETv1_Annotator-2,44,True,44,006,2. Initial annotation complete,,False,no,no,no,yes,no,yes,no,no,no,"no tangible harm, near-miss, or issue",yes,yes,True,none,"Test done in operational conditions by researchers. Test is quite old by our standards (2000), so it is unclear if it counts as AI. However, it used a ""decision tree based learning"" algorithm which can count as machine learning. No harm matching cset's definition occurred.  ",no,no,no,no,no,none,,no,yes,no,True,no,,2000,06,,True,yes,no,Los Angeles,CA,US,North America,,,,"USC Information Sciences Institute, Electric Elves, Study participants",0,0,True,,Personal Assistants,"schedules, personal data",other,no,Autonomy2,,No. Not intentionally designed to perform harm,,Personal Assistant,,
CSETv1_Annotator-2,42,True,42,006,3. In peer review,003,False,no,no,no,yes,no,no,no,no,yes,non-imminent risk of tangible harm (an issue) occurred,no,no,True,none,Matching algorithm most likely does not contains AI,no,no,no,no,no,none,,no,no,no,True,no,,,,,False,,,,,US,North America,healthcare and public health,,No specific incident. System has been in use for a long while,"NRMP algorithm, Medical students, Hospitals",0,0,True,,Not AI,,human health and social work activities,yes,Autonomy3,,No. Not intentionally designed to perform harm,,,,
CSETv1_Annotator-2,41,True,41,006,3. In peer review,002,False,no,no,yes,no,yes,no,no,no,no,"no tangible harm, near-miss, or issue",yes,yes,True,none,No harm occurred! This was a test to show that biased data sets will produced skewed results in AI. The AI simply generated odd/violent captions in a controlled research environment. Never deployed,no,no,no,no,no,none,,no,yes,no,True,no,,2018,06,,True,no,no,Boston,MA,US,North America,,,,"Norman, MIT Media Lab",0,0,True,,AI system that generates captions. ,"Text, Captions",,no,Autonomy2,,No. Not intentionally designed to perform harm,,Generate Captions,Natural Language Processesing,
CSETv1_Annotator-2,39,True,39,006,3. In peer review,003,False,no,no,no,yes,yes,no,no,yes,yes,"no tangible harm, near-miss, or issue",yes,yes,True,none,"Two separate incidents. First,  a researcher from University of Washington created deepfake of Obama. Second, Jordan Peele used FakeApp application to create deepfake of Obama. No tangible harm in either case as Obama is a public figure.",no,no,no,no,no,none,,no,yes,no,True,no,No special interest harm occurred.,2017,07,,True,no,no,,,US,North America,,,,"Barack Obama, Ira Kemelmacher-Sclizerman, FakeApp, Jordan Peele",0,0,True,,Deepfake,"video, audio",other,no,Autonomy3,,No. Not intentionally designed to perform harm,,Deepfake,,
CSETv1_Annotator-2,38,True,38,006,3. In peer review,003,False,no,yes,no,yes,no,no,no,no,no,"no tangible harm, near-miss, or issue",no,no,True,none,"No tangible harm: increased difficultly of video game does is not harm. Additionally, no AI/Machine Learning present. The game's ""AI"" is algorithm/heuristic based  ",no,no,no,no,no,none,,no,no,no,True,no,No intangible harm. No AI present,2016,06,02,True,no,no,,,,Global,,,,"Elite Dangerous, Elite Dangerous NPC, Elite Dangerous Players",0,0,True,,Video game NPC. Interacts with player. Does not contain AI/Machine Learning,,,no,Autonomy1,,No. Not intentionally designed to perform harm,,,,NO AI
CSETv1_Annotator-2,35,True,35,006,3. In peer review,002,False,yes,no,no,yes,no,no,no,no,yes,tangible harm definitively occurred,no,no,True,none,No AI. The employment systems  responsible/connected to the termination did not contain AI/Machine Learning.,no,no,no,no,no,none,,no,no,no,True,no,,2017,,,True,no,no,,,US,North America,,,,"Ibrahim Diallo, Ibrahim Diallo's Employer, Employment System ",0,0,True,,"Employment system (not containing AI/ML). Determines employment status, terminated employment, issues instructions to escort fired employees from premises. ",employment status,,no,Autonomy1,"In this case, the company was unable to override the system for at least 3 weeks.",No. Not intentionally designed to perform harm,,,,
