,precision,recall,f1-score,support
1. Discrimination and Toxicity,0.6832579185520362,0.7864583333333334,0.7312348668280871,192.0
2. Privacy & Security,0.7945205479452054,0.5321100917431193,0.6373626373626373,109.0
3. Misinformation,0.6260162601626016,0.7549019607843137,0.6844444444444444,102.0
4. Malicious Actors & Misuse,0.8290816326530612,0.9232954545454546,0.8736559139784946,352.0
5. Human-Computer Interaction,0.2727272727272727,0.1,0.14634146341463414,30.0
6. Socioeconomic & Environmental Harms,1.0,0.8888888888888888,0.9411764705882353,9.0
"7. AI system safety, failures, and limitations",0.7906976744186046,0.6986301369863014,0.7418181818181818,292.0
accuracy,0.7605893186003683,0.7605893186003683,0.7605893186003683,0.7605893186003683
macro avg,0.7137573294941115,0.6691835523259159,0.6794334254906735,1086.0
weighted avg,0.7564863650373223,0.7605893186003683,0.7520088196923811,1086.0
